magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
7.3,2019-06-24,4,6,green,1,952,us,0,2.629,16,mww,212,-6.4078,129.169,"Saumlaki, Indonesia",,Indonesia
7.3,2019-06-15,8,6,green,1,830,us,0,1.402,11,mww,46,-30.6441,-178.1,"L'Esperance Rock, New Zealand",,
6.6,2019-05-30,7,6,yellow,1,886,us,0,1.193,22,mww,57.92,13.1994,-89.3056,"La Libertad, El Salvador",,
8,2019-05-26,9,8,orange,1,1890,us,0,3.18,17,mww,122.57,-5.8119,-75.2697,"Navarro, Peru",South America,Peru
7.6,2019-05-14,7,7,green,1,929,us,0,0.453,16,mww,10,-4.051,152.597,"Namatanai, Papua New Guinea",,Papua New Guinea
7.1,2019-05-06,7,6,yellow,1,826,us,0,2.514,16,mww,146,-6.9746,146.449,"Bulolo, Papua New Guinea",,Papua New Guinea
6.8,2019-04-12,5,6,green,1,717,us,0,0.791,28,mww,15.46,-1.8146,122.58,"Luwuk, Indonesia",,Indonesia
6.5,2019-04-09,0,5,green,1,650,us,0,7.568,18,mww,38,-58.6262,-25.304,"Bristol Island, South Sandwich Islands",,
7,2019-03-01,7,4,green,1,869,us,0,2.501,42,mww,267,-14.7131,-70.1546,"Azángaro, Peru",South America,Peru
7.5,2019-02-22,7,7,yellow,1,1145,us,0,2.045,15,mww,145,-2.1862,-77.0505,"Palora, Ecuador",South America,Ecuador
6.7,2019-02-01,6,6,yellow,1,909,us,0,0.289,43,mww,66,14.6802,-92.4527,"Puerto Madero, Mexico",,Mexico
6.7,2019-01-22,0,3,green,0,691,us,0,7.527,17,mww,13,-43.1219,42.3568,Prince Edward Islands region,,
6.7,2019-01-20,8,8,orange,1,1600,us,0,0.173,22,mww,63,-30.0404,-71.3815,"Coquimbo, Chile",South America,Chile
6.6,2019-01-15,5,4,green,1,671,us,0,7.818,18,mww,35,-13.336,166.875,"Sola, Vanuatu",,Vanuatu
6.6,2019-01-06,2,4,green,1,672,us,0,1.596,33,mww,43.21,2.258,126.758,Molucca Sea,,Indonesia
6.8,2019-01-05,3,3,green,0,715,us,0,1.181,16,mww,570.41,-8.144,-71.587,"Tarauaca, Brazil",South America,Brazil
7,2018-12-29,5,5,green,1,803,us,0,1.769,21,mww,60.21,5.8983,126.921,"Pondaguitan, Philippines",,
7.3,2018-12-20,3,7,green,1,822,us,0,4.126,23,mww,16.56,55.0999,164.699,"Ust’-Kamchatsk Staryy, Russia",,
7.1,2018-12-11,0,5,green,1,776,us,0,7.043,20,mww,133,-58.5446,-26.3856,South Sandwich Islands region,,South Georgia and the South Sandwich Islands
6.6,2018-12-05,0,4,green,1,670,us,0,2.679,31,mww,10,-22.0629,169.733,"Tadine, New Caledonia",,
7.5,2018-12-05,3,6,green,1,871,us,0,2.405,18,mww,10,-21.9496,169.427,"Tadine, New Caledonia",,
7.1,2018-11-30,8,8,orange,1,1790,ak,0,0,0,mw,46.7,61.3464,-149.955,"Point MacKenzie, Alaska",North America,United States of America
6.8,2018-11-18,0,3,green,1,711,us,0,2.879,39,mww,540,-17.8735,-178.927,"Levuka, Fiji",,Fiji
6.7,2018-11-09,3,4,green,1,693,us,0,7.853,19,mww,10,71.6312,-11.2431,"Olonkinbyen, Svalbard and Jan Mayen",,
6.8,2018-10-25,8,7,yellow,0,954,us,0,2.268,15,mww,14,37.5203,20.5565,"Lithakiá, Greece",Europe,
6.5,2018-10-22,2,4,green,0,655,us,0,1.692,68,mww,10,49.297,-129.724,"Port McNeill, Canada",,
6.8,2018-10-22,4,4,green,1,776,us,0,1.505,36,mww,10,49.3346,-129.289,"Port McNeill, Canada",,
6.5,2018-10-22,3,4,green,1,669,us,0,1.611,63,mww,10,49.2586,-129.412,"Port McNeill, Canada",,
6.5,2018-10-16,0,4,green,1,650,us,0,2.109,22,mww,17,-21.7427,169.522,"Tadine, New Caledonia",,
6.7,2018-10-13,0,3,green,1,691,us,0,2.705,17,mww,461,52.8549,153.243,"Ozernovskiy, Russia",,
6.5,2018-10-10,0,4,green,1,650,us,0,3.923,14,mww,20,49.2902,156.297,"Severo-Kuril’sk, Russia",,
7,2018-10-10,6,6,green,1,758,us,0,1.778,18,mww,39,-5.7012,151.205,"Kimbe, Papua New Guinea",,Papua New Guinea
6.7,2018-09-30,2,3,green,1,691,us,0,3.745,23,mww,550,-18.3604,-178.063,"Levuka, Fiji",,Fiji
7.5,2018-09-28,8,8,red,0,2026,us,0,1.649,13,mww,20,-0.2559,119.846,"Palu, Indonesia",,Indonesia
6.5,2018-09-16,4,1,green,0,651,us,0,5.139,18,mww,576,-25.415,178.199,the Fiji Islands,,
6.9,2018-09-10,3,4,green,0,735,us,0,2.785,18,mww,115,-31.7447,-179.373,Kermadec Islands region,,
6.5,2018-09-09,3,6,green,1,651,us,0,1.638,25,mww,68,-10.0207,161.503,"Kirakira, Solomon Islands",,Solomon Islands
7.9,2018-09-06,7,4,green,1,979,us,0,1.431,12,mww,670.81,-18.4743,179.35,"Levuka, Fiji",,Fiji
6.6,2018-09-05,8,9,orange,1,1075,us,0,1.13,32,mww,35,42.6861,141.929,"Chitose, Japan",Asia,Japan
7.1,2018-08-29,2,5,green,1,776,us,0,2.548,23,mww,21.43,-22.0295,170.126,"Tadine, New Caledonia",,
7.1,2018-08-24,0,3,green,0,776,us,0,3.77,12,mww,630,-11.0355,-70.8284,"Iñapari, Peru",South America,Peru
6.5,2018-08-21,6,7,green,1,652,us,0,4.797,10,mww,9,-16.0315,168.143,"Lakatoro, Vanuatu",,Vanuatu
7.3,2018-08-21,8,6,yellow,1,1570,us,0,1.822,15,mww,146.82,10.7731,-62.9019,"Carúpano, Venezuela",,Venezuela
6.9,2018-08-19,7,7,green,0,1206,us,0,2.453,31,mww,21,-8.319,116.627,"Labuan Lombok, Indonesia",,Indonesia
8.2,2018-08-19,5,4,green,1,1050,us,0,3.63,13,mww,600,-18.1125,-178.153,"Levuka, Fiji",,Fiji
6.5,2018-08-17,5,3,green,0,743,us,0,2.719,23,mww,529,-7.3718,119.802,"Labuan Bajo, Indonesia",,Indonesia
6.5,2018-08-15,6,6,green,1,655,us,0,0.576,22,mww,33.93,51.4234,-178.026,"Adak, Alaska",North America,United States of America
6.9,2018-08-05,9,8,orange,0,1704,us,0,2.271,15,mww,34,-8.2581,116.438,"Labuan Lombok, Indonesia",,Indonesia
6.9,2018-05-04,7,8,yellow,1,1392,hv,63,0.11,210,mw,5.81,19.3182,-155,"Leilani Estates, Hawaii",,United States of America
6.8,2018-04-02,5,3,green,0,733,us,0,5.32,16,mww,559,-20.6588,-63.0058,"Boyuibe, Bolivia",South America,Bolivia
6.9,2018-03-29,9,6,green,1,741,us,0,1.487,18,mww,35,-5.5321,151.5,"Kimbe, Papua New Guinea",,Papua New Guinea
